pin14,year,month,price,class,sqftl,age,sqftb,rooms,bedrooms,basement,aircond,fireplace,attic,bathrooms,garage1,garage2,longitude,latitude,brick
10364060030000,2005,6,532600,203,4688,78,1681,6,4,1,0,0,1,2,1,0,-87.6921452431431,42.0045659814201,1
10364060030000,2012,8,100000,203,4688,78,1681,6,4,1,0,0,1,2,1,0,-87.6921452431431,42.0045659814201,1
10364060030000,2012,11,167500,203,4688,78,1681,6,4,1,0,0,1,2,1,0,-87.6921452431431,42.0045659814201,1
10364060030000,2013,8,435000,203,4688,78,1681,6,4,1,0,0,1,2,1,0,-87.6921452431431,42.0045659814201,1
10364080250000,2002,1,230000,204,4125,78,2041,7,4,1,0,0,1,2,0,1,-87.6989120756874,42.0027192581851,1
10364080250000,2002,8,403000,204,4125,78,2041,7,4,1,0,0,1,2,0,1,-87.6989120756874,42.0027192581851,1
10364080250000,2005,2,510000,204,4125,78,2041,7,4,1,0,0,1,2,0,1,-87.6989120756874,42.0027192581851,1
10364170150000,2005,4,300000,203,4125,80,1300,7,3,1,0,0,1,1.5,0,1,-87.698136,41.9997395,1
10364200060000,1994,4,128000,205,4688,82,1528,7,3,1,0,1,0,2,1,0,-87.6944925,42.0006405,0
10364200060000,2015,8,271000,205,4688,82,1528,7,3,1,0,1,0,2,1,0,-87.6944925,42.0006405,0
10364210360000,2007,3,400000,203,5551,81,1428,6,4,1,0,0,1,2,0,1,-87.6932465,41.999635,1
10364210360000,2014,9,330000,203,5551,81,1428,6,4,1,0,0,1,2,0,1,-87.6932465,41.999635,1
10364220270000,1997,5,130000,203,4688,84,1326,5,3,1,0,0,1,1,0,1,-87.691514243077,41.9999714814408,1
10364230020000,1990,3,110000,203,3750,80,1140,7,3,1,0,0,1,1,0,0,-87.690843,42.001146,1
10364230020000,2003,7,324900,203,3750,80,1140,7,3,1,0,0,1,1,0,0,-87.690843,42.001146,1
11303020310000,1992,10,200000,211,6248,50,3348,12,6,1,0,0,0,3,0,1,-87.6892398783027,42.0164974820874,1
11303071690000,2007,11,255000,295,1359,45,1240,6,3,0,1,0,0,1.5,0,0,-87.6853994269479,42.0178865155364,1
11303210100000,1994,6,170000,211,4000,80,3030,12,6,1,0,0,0,3,0,1,-87.6858489399381,42.0130822554177,1
11303210100000,2015,9,370000,211,4000,80,3030,12,6,1,0,0,0,3,0,1,-87.6858489399381,42.0130822554177,1
11311030050000,1998,4,245000,205,6290,87,1584,7,4,1,0,0,1,3.5,0,0,-87.6823559638878,42.0115678211414,0
11311070190000,2002,7,385000,211,5985,88,2990,12,6,1,0,0,0,2,0,1,-87.6813022395981,42.0104191960114,1
11311070190000,2006,4,635000,211,5985,88,2990,12,6,1,0,0,0,2,0,1,-87.6813022395981,42.0104191960114,1
11311080120000,1999,12,215000,211,5848,76,3176,12,6,1,0,0,1,3,0,1,-87.6888897413642,42.0089996825359,1
11311080120000,2002,10,315000,211,5848,76,3176,12,6,1,0,0,1,3,0,1,-87.6888897413642,42.0089996825359,1
11311120030000,1996,8,125000,205,3300,85,1926,7,4,1,0,1,0,2,1,0,-87.6816002784859,42.0098244835353,0
11311150040000,2000,11,325000,211,5000,79,3066,12,6,1,0,0,0,3,0,1,-87.6852360064686,42.008497824076,1
11311150040000,2006,9,605000,211,5000,79,3066,12,6,1,0,0,0,3,0,1,-87.6852360064686,42.008497824076,1
11311150200000,1990,3,160000,205,4950,89,1560,6,3,1,0,0,1,1.5,0,1,-87.685208502914,42.0075561197625,0
11311150200000,2010,3,205000,205,4950,89,1560,6,3,1,0,0,1,1.5,0,1,-87.685208502914,42.0075561197625,0
11311220170000,2006,1,637000,206,9000,89,3280,11,4,1,0,1,0,2.5,0,1,-87.6866755,42.005443,0
11312080270000,1993,9,77000,295,1967,43,1369,6,3,1,1,0,0,1.5,0,0,-87.672074,42.010398,1
11312080270000,2004,2,219000,295,1967,43,1369,6,3,1,1,0,0,1.5,0,0,-87.672074,42.010398,1
11312080270000,2005,2,240000,295,1967,43,1369,6,3,1,1,0,0,1.5,0,0,-87.672074,42.010398,1
11312100280000,2002,7,200000,295,3362,41,1256,6,3,1,0,0,0,1.5,0,0,-87.6758614524035,42.0096790163087,1
11312120110000,1997,7,171600,211,5733,105,2626,12,6,1,0,0,0,2,0,1,-87.672944576197,42.0098762584806,1
11312120110000,1998,7,220000,211,5733,105,2626,12,6,1,0,0,0,2,0,1,-87.672944576197,42.0098762584806,1
11312140120000,1993,2,110000,205,4290,115,1472,7,3,0,0,0,0,1.5,0,1,-87.6806062188011,42.0085243578199,0
11312140120000,1996,5,123000,205,4290,115,1472,7,3,0,0,0,0,1.5,0,1,-87.6806062188011,42.0085243578199,0
11312140120000,2006,3,589000,205,4290,115,1472,7,3,0,0,0,0,1.5,0,1,-87.6806062188011,42.0085243578199,0
11313020730000,2015,9,195000,295,2784,50,1440,6,3,1,1,0,0,1.5,0,0,-87.6804645,42.0017095,1
11314050160000,2004,10,195700,295,1911,44,1095,5,2,0,1,0,0,1.5,0,0,-87.6750337518327,42.0051454450863,1
11314160110000,2000,9,222000,204,4440,85,2167,8,5,1,0,0,1,2,0,0,-87.6738215,42.0002505,0
11322010320000,2005,7,455000,295,2078,14,2253,8,4,0,1,1,0,2.5,1,0,-87.6605308404058,42.0070568825942,1
11323000200000,1994,1,155000,205,6200,105,1904,7,4,1,0,0,1,2,0,0,-87.669693,42.004147,0
11323060180000,2005,11,425000,210,2372,92,1821,5,3,1,0,0,0,1,1,0,-87.6640589587201,42.004197425169,1
11323060180000,2013,11,285000,210,2372,92,1821,5,3,1,0,0,0,1,1,0,-87.6640589587201,42.004197425169,1
11323100010000,1993,9,110000,205,4264,91,1496,7,4,1,0,0,1,2,0,0,-87.667758,42.0034525,0
12011110220000,1991,9,130000,203,5625,54,1013,6,3,1,1,0,1,1,0,1,-87.8181754980558,41.9944186667138,1
12011240200000,2004,12,350000,203,5051,48,1127,6,3,1,0,0,0,1.5,0,1,-87.8189433150657,41.9897288017033,1
12014040640000,2002,8,495000,278,5175,12,2722,8,4,1,1,1,0,2.5,0,1,-87.807207027712,41.9898207183779,1
12014220240000,1998,2,195000,203,7123,49,1451,6,3,1,0,0,1,1,1,0,-87.8125755584762,41.9848484071507,1
12113010330000,2007,9,300000,202,5000,43,960,4,2,1,1,0,0,1,0,1,-87.8381336653818,41.9715827511558,1
12121050420000,2001,9,340000,207,4573,61,1649,6,3,0,1,1,0,2,0,0,-87.8215229912892,41.9798683578936,1
12121060250000,1996,5,185000,205,4600,66,1114,6,3,1,0,1,0,1,1,0,-87.8171602193978,41.9804734994677,1
12121060270000,2005,9,339000,203,2425,39,1000,5,3,1,0,0,1,1,0,0,-87.817165318266,41.980264730897,1
12122270050000,1995,9,135000,295,4680,59,1033,7,3,1,0,0,0,1,1,0,-87.809388964412,41.9783895753244,1
12141060120000,2013,8,272500,203,6210,47,1275,6,3,1,1,0,0,1,1,0,-87.8413473017166,41.9600266168463,1
12141190110000,2004,4,395000,203,5750,39,1294,6,3,1,1,0,0,1,0,1,-87.8445410340011,41.9646295128369,1
